Model,DPO4032
Firmware Version,2.30

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.4
Sample Interval,0.0004
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,-0.113
Vertical Scale,0.01
Label,
TIME,CH1
-6.2400e-02,-0.112528
-6.2000e-02,-0.11247
-6.1600e-02,-0.113114
-6.1200e-02,-0.1133
-6.0800e-02,-0.11275
-6.0400e-02,-0.113016
-6.0000e-02,-0.113138
-5.9600e-02,-0.11232
-5.9200e-02,-0.112725
-5.8800e-02,-0.112595
-5.8400e-02,-0.11268
-5.8000e-02,-0.112723
-5.7600e-02,-0.112364
-5.7200e-02,-0.113208
-5.6800e-02,-0.112844
-5.6400e-02,-0.112283
-5.6000e-02,-0.112745
-5.5600e-02,-0.112791
-5.5200e-02,-0.112386
-5.4800e-02,-0.113642
-5.4400e-02,-0.113444
-5.4000e-02,-0.112581
